687.3,5.3,23.2,15.2,177.7,2.8,41,56,7.6,12.7,18.5,74.3,17.7,20,14.4,4.2,,,
733.5,5.2,24,17.4,81.5,5,47.6,49.4,8.5,26.6,14.8,73.4,18.2,20.1,19.2,4.3,,,
738.7,5.3,25.6,19.6,129,1,51.4,47.9,6.1,12.2,18.7,69.3,15.5,21.7,15.1,5.2,,,
712.2,5.6,23.9,16.2,134.2,3.9,49.3,59.9,10.6,19.4,14.1,73.8,16.8,21.2,16,5.2,,,
751,6,24.7,18,161.2,8.4,47.4,63.7,7.6,16.3,20.7,69.3,18.4,21.4,15.6,5.3,,, 
847.8,5,28.2,21.3,216,6.7,55,57.5,10.5,19.5,19.6,79.2,20.6,26.1,19.6,5.3,,,
746.8,5.8,26.5,16.5,164.6,3.6,45.5,58.3,10.5,14.9,22.5,73.2,20.3,24.7,14.6,5.6,,,
634.4,5.3,20.9,13.6,139.7,2.5,35.7,53.1,7.6,11.2,18.4,71.4,17.4,22.6,10.9,5.9,,,
899.8,5.5,27.6,19.2,193.2,9.6,54.6,71.4,10.8,22.1,26.5,74.7,22.6,22.2,18.8,5.9,,,
723.1,5.3,27.6,19,246.3,2.7,45.1,28.7,4.8,11,25.3,73,16.6,24.5,18.1,6,,,
943.5,6.5,29.3,22.9,168.8,7.8,68.4,62.1,9,21.2,23,76.7,23.3,22.9,24.4,6.2,,,
673.9,5.6,23.7,18,289.4,4.9,35.4,21.6,4.7,14.1,33.5,73.9,17.1,22.9,16.6,6.3,,,
780.8,5.6,23.9,17.7,170.9,9.7,47.2,47,14,26.2,23.3,74.7,19.9,21.4,19.9,6.3,,,
818.2,6.1,30.6,21.4,236.8,2.2,54,38.3,5.2,14.8,27.5,73.7,19.8,25.2,20.9,6.3,,,
821.6,6.7,25.5,17,193.1,5.8,53.7,69.5,10.9,16.9,18.4,73.3,20.8,25.3,17.2,6.4,,,
707.5,6.5,26.7,19.3,203.7,5.5,41.7,27.5,8.2,20,24.5,71,15.9,23.1,18.7,6.6,,,
878.3,5.7,25.8,20.8,200.7,11.3,56,63,10.6,20.1,27.8,76.2,22.5,25.1,20,6.6,,,
747.3,6.6,23.3,17.5,210.6,10.7,39.9,54.1,7.9,13.9,27.3,71.6,21.3,24.2,16.7,6.7,,,
805.7,6.7,26,19.4,219.3,6.4,49.5,60,9.8,16.1,28,72.2,23.4,24.9,16.3,6.8,,,
907.1,5.7,25.4,18,205.5,5.6,57,77.3,9.8,19.7,24.9,77.2,22.6,25.2,21.2,6.9,,,
777.6,6.2,26,16.2,183.9,3.6,51.7,50.4,9.8,14.8,18.5,75.4,21.3,26.5,18.9,7,,,
924.7,6.5,26.4,21.9,153.1,10.1,62.6,56.7,18.6,24.5,25.6,78.3,21.6,24.8,25.7,7,,,
748.2,5.6,24.5,17,181.6,5.6,50.2,45.6,13.3,20.6,25.8,70.3,18.8,24.8,18.4,7.1,,,
868.8,5.6,28.1,22.6,202.1,14.3,54.2,53.4,7.5,21.4,27.8,76.8,22,23,21.4,7.1,,,
896.6,6.3,29,21.1,238.6,7.3,57.1,49.6,10.4,18.8,24.6,77.3,23.6,26,23.9,7.5,,,
916.2,6.9,26.2,20.4,241.3,8.1,51.9,60.7,10.3,12.5,28.6,77.2,25.7,26.4,17.8,7.8,,,
694.4,5.5,21.5,16.2,161.3,5.1,47.7,36.9,12.5,28.1,23.4,69.9,18.3,27.8,20.1,7.8,,,
761.6,5.4,22.3,19.2,216.2,9,35.8,40.1,9.1,16.1,34.6,79,19,24.2,17.6,8.1,,,
876.8,6.3,28.8,20.7,197.5,7.8,59.9,53.1,10.8,25.3,23.1,73.6,20.9,26.9,23.8,8.4,,,
1046.6,7.3,34.7,26.6,204.3,20.6,68.6,62.5,10.7,33.9,28.4,74.5,26.4,30.4,28,8.4,,,
765.3,6.2,26.7,20.6,294.8,9.7,36.3,23.4,4.6,17.7,34.6,73.5,23,23.6,18.7,8.8,,,
849.8,6.1,24.3,18,198.5,7.8,42.7,61.9,10.3,22.7,26.1,77.9,30.6,25.5,19.5,9.1,,,
884.6,7.4,27.2,22.3,296.3,12.6,42.4,31.2,5.8,21.1,35.5,73.8,24.4,24.5,19.6,9.2,,,
1004.1,7.1,30.1,21.7,265.8,21.8,65,54.2,10.3,20.4,27.9,78.4,29.2,30.3,26.3,9.8,,,
633.3,3.8,24.9,16,92.5,1.7,37.2,46.3,7.3,15.7,14.6,71.5,15.1,19.4,14.7,3.6,,,
763.8,5.2,23.2,17.4,128.4,2.4,37.8,45.5,16.1,20,13.9,74.9,14.2,20.8,20,4.1,,,
